name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_unit,torque_rpm,cars_age
Maruti,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,190.0,2000.0,8
Skoda,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,250.0,1500.0,8
Honda,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0,124.46000000000001,2700.0,16
Hyundai,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,219.52,1750.0,12
Maruti,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0,112.7,4500.0,15
Hyundai,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,113.75,4000.0,5
Maruti,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5.0,76.44,4500.0,15
Maruti,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,59.0,2500.0,21
Toyota,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0,170.0,1800.0,11
Ford,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,160.0,2000.0,9
Renault,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,248.0,2250.0,8
Maruti,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,78.0,4500.0,17
Maruti,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,190.0,2000.0,13
Maruti,200000,80000,Petrol,Individual,Manual,Second Owner,,,,,,,15
Maruti,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,84.0,3500.0,13
Mahindra,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0,115.0,3500.0,6
Maruti,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,200.0,1750.0,6
